player_id,player_display_name,team_2026,position,position_rank,position_rank_label,projected_fantasy_points
00-0034857,Josh Allen,BUF,QB,1,QB1,317.4
00-0033106,Jared Goff,DET,QB,2,QB2,271.2
00-0026498,Matthew Stafford,LA,QB,3,QB3,266.5
00-0034855,Baker Mayfield,TB,QB,4,QB4,264.3
00-0036389,Jalen Hurts,PHI,QB,5,QB5,263.2
00-0034796,Lamar Jackson,BAL,QB,6,QB6,260.0
00-0033873,Patrick Mahomes,KC,QB,7,QB7,255.4
00-0036355,Justin Herbert,LAC,QB,8,QB8,251.1
00-0036971,Trevor Lawrence,JAX,QB,9,QB9,242.4
00-0034869,Sam Darnold,SEA,QB,10,QB10,235.7
00-0036442,Joe Burrow,CIN,QB,11,QB11,217.2
00-0036264,Jordan Love,GB,QB,12,QB12,213.5
00-0023459,Aaron Rodgers,PIT,QB,13,QB13,210.5
00-0033077,Dak Prescott,DAL,QB,14,QB14,202.8
00-0035710,Daniel Jones,IND,QB,15,QB15,190.6
00-0037834,Brock Purdy,SF,QB,16,QB16,172.4
00-0039163,C.J. Stroud,HOU,QB,17,QB17,156.9
00-0039150,Bryce Young,CAR,QB,18,QB18,156.1
00-0030565,Geno Smith,NYJ,QB,19,QB19,149.0
00-0026158,Joe Flacco,CIN,QB,20,QB20,133.3
00-0036212,Tua Tagovailoa,ATL,QB,21,QB21,132.6
00-0036972,Mac Jones,SF,QB,22,QB22,129.3
00-0035228,Kyler Murray,MIN,QB,23,QB23,128.6
00-0039164,Anthony Richardson,IND,QB,24,QB24,121.4
00-0032268,Marcus Mariota,WAS,QB,25,QB25,118.3
00-0031503,Jameis Winston,NYG,QB,26,QB26,118.2
00-0033119,Jacoby Brissett,AZ,QB,27,QB27,114.1
00-0038579,Aidan O'Connell,LV,QB,28,QB28,102.6
00-0036945,Justin Fields,KC,QB,29,QB29,101.8
00-0032950,Carson Wentz,MIN,QB,30,QB30,92.3
00-0029604,Kirk Cousins,LV,QB,31,QB31,90.0
00-0037013,Zach Wilson,NO,QB,32,QB32,85.5
00-0036898,Davis Mills,HOU,QB,33,QB33,83.1
00-0031237,Teddy Bridgewater,DET,QB,34,QB34,82.3
00-0034771,Mason Rudolph,PIT,QB,35,QB35,78.0
00-0038416,Tyson Bagent,CHI,QB,36,QB36,78.0
00-0035704,Drew Lock,SEA,QB,37,QB37,73.1
00-0037012,Trey Lance,LAC,QB,38,QB38,62.4
00-0035264,Jarrett Stidham,DEN,QB,39,QB39,48.9
00-0035100,Jake Browning,TB,QB,40,QB40,48.6
00-0035993,Tyler Huntley,BAL,QB,41,QB41,40.8
00-0038128,Malik Willis,MIA,QB,42,QB42,38.7
00-0033869,Mitchell Trubisky,TEN,QB,43,QB43,38.3
00-0027973,Andy Dalton,PHI,QB,44,QB44,34.2
00-0038102,Kenny Pickett,CAR,QB,45,QB45,24.7
00-0028118,Tyrod Taylor,GB,QB,46,QB46,23.7
00-0035289,Gardner Minshew,AZ,QB,47,QB47,20.5
00-0033319,Nick Mullens,JAX,QB,48,QB48,9.1
00-0032434,Brandon Allen,NYG,QB,49,QB49,7.4
00-0026300,Josh Johnson,CIN,QB,50,QB50,6.3
00-0034577,Kyle Allen,BUF,QB,51,QB51,-14.9
00-0033280,Christian McCaffrey,SF,RB,1,RB1,259.8
00-0036223,Jonathan Taylor,IND,RB,2,RB2,240.0
00-0037248,James Cook,BUF,RB,3,RB3,215.7
00-0038542,Bijan Robinson,ATL,RB,4,RB4,205.8
00-0034844,Saquon Barkley,PHI,RB,5,RB5,196.5
00-0036997,Javonte Williams,DAL,RB,6,RB6,195.6
00-0039139,Jahmyr Gibbs,DET,RB,7,RB7,194.4
00-0032764,Derrick Henry,BAL,RB,8,RB8,189.3
00-0035700,Josh Jacobs,GB,RB,9,RB9,188.5
00-0038120,Breece Hall,NYJ,RB,10,RB10,187.4
00-0036275,D'Andre Swift,CHI,RB,11,RB11,181.6
00-0037840,Kyren Williams,LA,RB,12,RB12,181.4
00-0039040,De'Von Achane,MIA,RB,13,RB13,180.2
00-0036973,Travis Etienne,NO,RB,14,RB14,167.1
00-0038597,Chase Brown,CIN,RB,15,RB15,145.8
00-0035261,Tony Pollard,TEN,RB,16,RB16,144.5
00-0037228,Jaylen Warren,PIT,RB,17,RB17,143.1
00-0038134,Kenneth Walker III,KC,RB,18,RB18,142.3
00-0036158,J.K. Dobbins,DEN,RB,19,RB19,140.1
00-0036875,Rhamondre Stevenson,NE,RB,20,RB20,131.6
00-0039165,Zach Charbonnet,SEA,RB,21,RB21,130.0
00-0033906,Alvin Kamara,NO,RB,22,RB22,127.0
00-0036139,Rico Dowdle,PIT,RB,23,RB23,123.9
00-0036555,Chuba Hubbard,CAR,RB,24,RB24,116.0
00-0036919,Kenny Gainwell,TB,RB,25,RB25,114.3
00-0039032,Tyjae Spears,TEN,RB,26,RB26,108.2
00-0033293,Aaron Jones,MIN,RB,27,RB27,106.5
00-0035685,David Montgomery,HOU,RB,28,RB28,104.8
