position,model,mae,rmse,selected
QB,Linear Regression,58.178648344098136,78.63827030638956,False
QB,Ridge,57.89508857847486,76.30333116867422,True
QB,Random Forest,60.577766117434294,78.42432827833768,False
QB,Gradient Boosting,62.85415300855744,81.96078284338599,False
RB,Linear Regression,48.735904094446795,66.17876841942886,False
RB,Ridge,48.604496810028515,67.26963687920028,True
RB,Random Forest,49.166317946542804,68.50537036159311,False
RB,Gradient Boosting,51.27770204453988,72.55275350601373,False
WR,Linear Regression,35.54423934310461,49.36430783412136,False
WR,Ridge,35.9088996599683,49.51478416435368,True
WR,Random Forest,36.78233509635647,49.56686237243648,False
WR,Gradient Boosting,36.19341679134675,49.87789332974321,False
TE,Linear Regression,27.30447634437126,37.50106350698164,False
TE,Ridge,26.747866222046472,36.72558461123577,False
TE,Random Forest,25.788079741121837,35.11963709922231,True
TE,Gradient Boosting,26.971654626982062,37.96347966663259,False
